trip_id,start_time,end_time,headway_secs,exact_times
1:AVL---:1401,09:01:00,11:01:00,1800,1
1:AVL---:1656,07:55:00,08:55:00,1800,1
1:AVL---:1612,05:51:00,07:51:00,1800,1
1:AVL---:1664,10:20:00,17:20:00,3600,1
1:AVL---:2036,19:49:00,22:49:00,1800,1
1:AVL---:2052,06:49:00,19:29:00,1200,1
1:AVL---:1701,11:42:00,13:12:00,1800,1
1:AVL---:2020,21:01:00,23:31:00,1800,1
1:AVL---:1639,08:53:00,10:53:00,1800,1
1:AVL---:1649,07:41:00,19:21:00,1200,1
1:AVL---:1998,08:00:00,19:40:00,1200,1
1:AVL---:984,15:51:00,16:21:00,900,1
1:AVL---:2023,08:42:00,16:42:00,900,1
1:AVL---:1641,09:05:00,20:35:00,1800,1
1:AVL---:1688,06:52:00,19:32:00,1200,1
1:AVL---:1836,16:03:00,17:33:00,1800,1
1:AVL---:2032,06:00:00,06:30:00,900,1
1:AVL---:1095,08:27:00,09:57:00,600,1
1:AVL---:1855,20:19:00,23:49:00,1800,1
1:AVL---:2003,06:01:00,11:01:00,1800,1
1:AVL---:2010,07:47:00,19:27:00,1200,1
1:AVL---:2098,10:05:00,14:05:00,7200,1
1:AVL---:1987,07:23:00,18:53:00,1800,1
1:AVL---:1067,05:51:00,06:51:00,1800,1
1:AVL---:924,16:48:00,17:28:00,1200,1
1:AVL---:975,20:08:00,21:38:00,1800,1
1:AVL---:2061,05:58:00,07:28:00,1800,1
1:AVL---:1407,05:55:00,06:40:00,900,1
1:AVL---:1653,20:25:00,21:25:00,1800,1
1:AVL---:1808,21:52:00,22:52:00,1800,1
1:AVL---:928,07:58:00,19:43:00,900,1
1:AVL---:1239,08:20:00,11:20:00,1800,1
1:AVL---:1783,11:20:00,12:20:00,1800,1
1:AVL---:1984,20:29:00,22:29:00,3600,1
1:AVL---:751,11:47:00,18:47:00,3600,1
1:AVL---:1745,08:31:00,19:01:00,5400,1
1:AVL---:949,19:20:00,19:50:00,900,1
1:AVL---:1997,07:00:00,19:00:00,600,1
1:AVL---:1779,05:21:00,06:21:00,1800,1
1:AVL---:1708,21:43:00,22:43:00,1800,1
1:AVL---:1878,24:07:00,27:07:00,1800,1
1:AVL---:2018,20:01:00,23:31:00,1800,1
1:AVL---:1601,06:06:00,06:46:00,600,1
1:AVL---:1828,17:10:00,18:30:00,1200,1
1:AVL---:882,13:29:00,14:09:00,1200,1
1:AVL---:918,08:48:00,09:28:00,1200,1
1:AVL---:977,08:36:00,09:06:00,900,1
1:AVL---:1841,19:34:00,22:34:00,1800,1
1:AVL---:927,06:58:00,19:43:00,900,1
1:AVL---:1722,07:43:00,18:13:00,5400,1
1:AVL---:943,05:16:00,06:46:00,1800,1
